w_1stIn,l_1stIn,w_2ndWon,l_2ndWon,w_bpFaced,w_bpSaved
53,44,11,10,3,2
73,72,17,22,12,9
58,72,19,18,10,7
63,45,18,19,9,6
47,44,17,12,5,4
49,43,10,12,1,0
36,49,13,13,0,0
94,67,21,25,9,7
108,106,33,39,14,9
98,113,33,24,15,11
46,47,15,15,1,1
100,111,38,22,13,11
35,47,18,15,1,1
59,76,26,18,5,3
106,88,37,49,8,4
60,58,19,21,7,5
59,96,33,24,17,13
95,105,29,41,9,4
85,114,22,35,5,1
41,47,16,7,0,0
10,11,2,3,1,0
74,79,33,26,17,14
91,86,25,25,11,8
54,80,21,21,8,4
56,57,17,22,4,4
35,39,15,12,1,0
62,56,19,16,6,5
69,83,23,27,2,1
56,68,25,11,19,10
99,103,18,19,11,7
77,66,21,34,10,5
56,64,20,12,0,0
83,56,17,29,6,5
89,75,16,18,13,10
84,73,41,32,6,4
74,77,20,21,5,3
59,54,13,22,2,0
54,59,24,12,9,8
79,73,24,14,5,2
46,59,18,16,5,3
77,68,12,26,8,6
127,104,18,30,6,5
51,47,19,22,0,0
58,70,18,16,3,3
87,74,33,29,12,9
98,102,29,29,7,2
39,43,14,14,2,1
75,47,24,16,9,5
66,92,28,28,7,4
71,85,35,16,17,12
75,76,22,16,6,4
64,57,20,28,1,0
66,76,17,17,3,3
59,87,28,13,1,1
64,73,35,20,11,10
52,65,11,13,3,2
42,69,17,16,3,1
38,47,35,11,6,5
88,86,24,28,12,5
78,73,25,17,7,6
44,72,22,8,0,0
73,59,18,24,6,5
51,51,15,13,7,7
98,92,29,36,10,8
86,82,32,27,10,7
65,65,18,21,4,4
107,107,22,32,3,2
86,86,24,29,9,5
54,70,25,16,6,5
46,69,25,12,1,1
59,53,19,13,6,6
91,108,18,14,8,4
54,67,18,17,0,0
56,58,19,18,4,3
58,61,13,6,4,4
88,94,28,33,8,3
85,75,24,26,3,2
81,77,34,14,12,7
74,55,17,17,12,11
28,26,7,3,2,2
35,34,6,5,5,3
42,64,15,9,3,1
29,38,7,8,0,0
29,35,13,5,3,1
24,23,7,7,1,0
56,44,5,11,7,6
42,39,12,12,2,2
24,29,9,5,0,0
80,69,16,22,9,5
39,28,9,7,2,2
45,49,16,8,4,3
86,51,12,21,15,12
38,45,4,6,0,0
23,43,15,12,2,0
51,49,16,14,10,8
29,34,7,8,0,0
26,36,17,15,0,0
47,50,16,20,6,5
48,38,12,16,11,7
46,54,16,24,7,2
39,39,16,14,2,1
53,60,18,14,5,1
30,32,10,10,7,5
54,38,9,13,5,2
33,26,5,5,5,4
19,30,17,12,2,2
46,44,20,26,6,4
26,46,15,7,2,0
40,43,14,14,2,1
38,40,20,24,2,0
61,44,12,12,5,3
30,47,19,11,3,0
41,47,17,21,5,4
40,54,15,15,1,0
66,70,22,18,2,1
46,52,16,12,3,2
42,47,21,14,5,3
41,41,15,14,5,4
44,35,16,12,9,5
46,55,13,9,10,5
47,51,9,11,10,4
45,47,23,17,6,5
75,68,18,27,9,5
38,47,24,20,4,2
33,40,12,6,4,3
17,18,12,8,0,0
40,33,9,18,0,0
